SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523232,CONT.PETRO  ,T ,Q,13.59,13.59,13.59,13.59,13.59,12.95,4,535,7270.00,
523236,SHRENUJ & CO,B ,Q,33.80,33.95,33.25,33.70,33.80,33.35,152,38491,1294535.00,
523242,NB FOOT WEAR,P ,Q,2.45,2.45,2.26,2.26,2.26,2.35,2,2000,4881.00,
523248,MACHINO PLAS,B ,Q,144.00,144.00,126.50,128.50,128.50,140.50,343,28253,3728294.00,
523260,PEARL POLYME,B ,Q,18.90,18.95,18.90,18.95,18.95,18.05,27,30184,571984.00,
523261,VENKEY'S (I),B ,Q,570.00,570.00,548.75,551.00,551.00,564.50,517,4572,2543768.00,
523269,ADVANI HOTEL,B ,Q,52.30,54.00,52.30,52.50,52.50,51.95,19,2090,110359.00,
523283,SUPER HOUSE ,B ,Q,241.00,248.40,235.00,235.70,235.70,244.70,202,9625,2318583.00,
523289,RAMA VISION ,B ,Q,3.59,3.59,3.59,3.59,3.59,3.42,4,200,718.00,
523301,TCPL PACK   ,B ,Q,635.00,645.00,625.00,633.50,633.50,639.00,163,7279,4632691.00,
523319,BALMER LAWRI,B ,Q,668.00,677.00,652.00,654.65,654.65,663.35,1124,25558,17048502.00,
523323,KOVAI MEDI. ,T ,Q,840.00,859.25,840.00,859.25,859.25,818.50,83,5258,4516144.00,
523329,ELDECO HOUS.,B ,Q,277.00,277.00,254.00,254.20,254.00,261.30,18,691,179981.00,
523363,STERL.HOL.RS,B ,Q,255.10,255.10,247.90,254.00,254.50,256.60,144,12673,3192105.00,
523367,DCMSHRIRAM  ,B ,Q,119.95,121.10,119.00,119.80,120.40,118.35,502,32921,3946349.00,
523369,DCM SHR.IND ,B ,Q,68.15,73.65,66.05,68.05,68.05,69.00,79,13235,929482.00,
523371,MAWANA SUGAR,B ,Q,7.67,8.39,7.52,7.87,8.09,7.30,71,12101,95305.00,
523373,MINI DIAMOND,T ,Q,6.31,6.31,6.31,6.31,6.31,6.01,1,100,631.00,
523384,MAH.RAS.APEX,T ,Q,10.30,10.39,10.10,10.39,10.39,9.90,10,3774,38801.00,
523385,NILKAMAL L  ,B ,Q,990.00,1161.75,979.25,1095.75,1095.75,975.75,13720,293337,317738018.00,
523387,TRITON CORP.,B ,Q,0.38,0.38,0.38,0.38,0.38,0.39,3,25000,9500.00,
523391,NAHAR POLY  ,B ,Q,35.00,38.70,35.00,36.05,35.60,34.90,124,17645,650421.00,
523395,3M INDIA LTD,B ,Q,9430.00,10090.00,9430.00,9933.10,9933.10,9420.40,1309,11121,109711273.00,
523398,HITACHI HOME,B ,Q,1407.00,1445.05,1401.05,1422.45,1422.45,1406.65,762,6560,9339302.00,
523405,JM FINANCIAL,B ,Q,53.80,53.95,52.10,52.65,52.85,52.65,1532,206250,10962853.00,
523411,ADCINDIA    ,B ,Q,290.00,300.00,290.00,298.30,298.30,289.80,111,2525,744792.00,
523419,TAMIL.TELE. ,T ,Q,3.23,3.23,3.19,3.20,3.20,3.23,7,300,963.00,
523445,REL INDL INF,B ,Q,390.00,405.00,390.00,393.45,393.45,387.80,2787,114973,45642633.00,
523449,SHARP INDIA ,B ,Q,71.30,73.80,71.30,71.90,71.90,71.35,235,47741,3464155.00,
523455,TECHTRN.POLY,B ,Q,14.80,15.40,14.60,14.65,14.60,15.10,20,6720,99654.00,
523457,LINDEINDIA  ,B ,Q,369.00,386.00,369.00,376.85,376.95,366.05,1764,14902,5643672.00,
523465,IND.BANK HSG,T ,Q,7.04,7.70,7.04,7.70,7.70,7.41,3,500,3726.00,
523467,JAIMATA GLAS,T ,Q,0.12,0.13,0.12,0.13,0.13,0.13,3,3249,419.00,
523475,LOTUS CHOC  ,B ,Q,35.50,39.00,34.75,36.00,36.00,35.35,22,3016,107819.00,
523483,PACIFIC IND.,B ,Q,152.00,166.00,152.00,160.00,160.00,158.30,29,339,54410.00,
523489,CMM HOSPITAL,B ,Q,10.81,11.80,10.81,11.80,11.80,11.24,8,2961,34543.00,
523519,UNI OFF AUTO,T ,Q,4.10,4.10,4.10,4.10,4.10,3.99,1,1,4.00,
523523,RAINBOW PAP.,B ,Q,68.80,69.00,68.00,68.50,68.50,68.95,69,18523,1274122.00,
523537,APM INDUS.  ,B ,Q,59.90,59.90,53.00,54.25,54.25,58.35,675,125604,7033653.00,
523539,PRECISION WR,B ,Q,146.60,150.00,141.40,142.70,144.00,149.10,274,11924,1743019.00,
523550,KRYPTON IND ,B ,Q,13.86,14.69,13.80,14.03,14.01,14.33,13,1504,21382.00,
523566,MARTIN BURN ,B ,Q,18.10,18.10,18.10,18.10,18.10,18.10,1,95,1719.00,
